"avg(Quantity)","customerName"
34.3500,"Alpha Cognac"
32.4231,"Amica Models & Co."
31.9348,"Anna's Decorations, Ltd"
38.5714,"Atelier graphique"
30.6522,"Australian Collectables, Ltd"
35.0182,"Australian Collectors, Co."
36.3333,"Australian Gift Network, Co"
35.3889,"Auto Associés & Cie."
37.0741,"Auto Canal+ Petit"
35.8750,"Auto-Moto Classics Inc."
34.8627,"AV Stores, Co."
33.8125,"Baane Mini Imports"
28.6429,"Bavarian Collectables Imports, Co."
36.8636,"Blauer See Auto, Co."
34.0000,"Boards & Toys Co."
36.0000,"CAF Imports"
32.4545,"Cambridge Collectables Co."
31.9545,"Canadian Gift Exchange Network"
31.8095,"Classic Gift Ideas, Inc"
36.0000,"Classic Legends Inc."
30.6250,"Clover Collections, Co."
38.1600,"Collectable Mini Designs Co."
33.1250,"Collectables For Less Inc."
35.2927,"Corporate Gift Ideas Co."
36.3438,"Corrida Auto Replicas, Ltd"
36.9615,"Cruz & Sons Co."
34.9500,"Daedalus Designs Imports"
36.5278,"Danish Wholesale Imports"
35.8387,"Diecast Classics Inc."
38.6111,"Diecast Collectables"
29.7500,"Double Decker Gift Stores, Ltd"
36.7609,"Down Under Souveniers, Inc"
35.4419,"Dragon Souveniers, Ltd."
38.3478,"Enaco Distributors"
36.0116,"Euro+ Shopping Channel"
36.3793,"Extreme Desk Decorations, Ltd"
34.0000,"Frau da Collezione"
34.7308,"FunGiftIdeas.com"
36.1200,"Gift Depot Inc."
35.0526,"Gift Ideas Corp."
39.8462,"Gifts4AllAges.com"
34.4231,"giftsbymail.co.uk"
38.5769,"GiftsForHim.com"
34.3333,"Handji Gifts& Co"
32.6667,"Heintze Collectables"
33.5517,"Herkku Gifts"
39.2667,"Iberia Gift Imports, Corp."
34.3125,"Kelly's Gift Shop"
37.2500,"King Kong Collectables, Co."
32.8205,"L'ordine Souveniers"
36.3478,"La Corne D'abondance, Co."
34.5660,"La Rochelle Gifts"
33.2857,"Land of Toys Inc."
34.2000,"Lyon Souveniers"
32.1600,"Marseille Mini Autos"
36.1481,"Marta's Replicas Co."
35.7143,"Men 'R' US Retailers, Ltd."
38.1000,"Microscale Inc."
35.4667,"Mini Auto Werke"
41.0000,"Mini Caravy"
35.7308,"Mini Classics"
32.5714,"Mini Creations Ltd."
35.3667,"Mini Gifts Distributors Ltd."
32.9524,"Mini Wheels Co."
31.7391,"Motor Mint Distributors Inc."
36.9792,"Muscle Machine Inc"
32.7917,"Norway Gifts By Mail, Co."
36.7059,"Online Diecast Creations Co."
38.1333,"Online Mini Collectables"
34.6000,"Osaka Souveniers Co."
34.6875,"Oulu Toy Supplies, Inc."
31.8400,"Petit Auto"
32.5909,"Québec Home Shopping Network"
34.9512,"Reims Collectables"
34.3750,"Rovelli Gifts"
33.5769,"Royal Canadian Collectables, Ltd."
34.7500,"Royale Belge"
36.0500,"Salzburg Collectables"
34.8293,"Saveley & Henriot, Co."
35.7632,"Scandinavian Gift Ideas"
34.2667,"Signal Collectibles Ltd."
32.0345,"Signal Gift Stores"
34.8043,"Souveniers And Things Co."
36.0385,"Stylish Desk Decors, Co."
34.3667,"Suominen Souveniers"
37.4118,"Super Scale Inc."
34.6765,"Technics Stores Inc."
47.0476,"Tekni Collectables Inc."
41.4000,"The Sharp Gifts Warehouse"
35.9375,"Tokyo Collectables, Ltd"
36.0000,"Toms Spezialitäten, Ltd"
35.0333,"Toys of Finland, Co."
35.3333,"Toys4GrownUps.com"
36.0690,"UK Collectables, Ltd."
34.7742,"Vida Sport, Ltd"
31.4800,"Vitachrome Inc."
34.0526,"Volvo Model Replicas, Co"
39.3077,"West Coast Collectables Co."
